"","stfid","sumlevel","st_fips","cnty_fips","cnty_sub_fips","tract_fips","block_group","cong_dist","sch_dist_sec","sch_dist_ele","drive0913","drive0913_moe"
"222","5501155975","060","55","11","55975",NA,NA,NA,NA,NA,0.834319526627219,0.0865645962134042
"223","5501184325","060","55","11","84325",NA,NA,NA,NA,NA,0.692982456140351,0.0185478388057253
"224","5501301900","060","55","13","01900",NA,NA,NA,NA,NA,0.898936170212766,0.104468131150338
"225","5501308025","060","55","13","08025",NA,NA,NA,NA,NA,0.945945945945946,0.241858446458602
"226","5501318750","060","55","13","18750",NA,NA,NA,NA,NA,0.945736434108527,0.135652206558081
"227","5501319925","060","55","13","19925",NA,NA,NA,NA,NA,0.92436974789916,0.137414774782179
"228","5501330450","060","55","13","30450",NA,NA,NA,NA,NA,0.926923076923077,0.0673731714628125
"229","5501330475","060","55","13","30475",NA,NA,NA,NA,NA,0.882716049382716,0.066422673699183
"230","5501337650","060","55","13","37650",NA,NA,NA,NA,NA,0.83955223880597,0.0835930377370077
"231","5501340975","060","55","13","40975",NA,NA,NA,NA,NA,0.945652173913043,0.0779501012256902
"232","5501344325","060","55","13","44325",NA,NA,NA,NA,NA,0.982456140350877,0.0849906057580921
"233","5501350650","060","55","13","50650",NA,NA,NA,NA,NA,0.969976905311778,0.00752631159298284
"234","5501359075","060","55","13","59075",NA,NA,NA,NA,NA,0.869674185463659,0.0759154628268561
"235","5501369325","060","55","13","69325",NA,NA,NA,NA,NA,0.788732394366197,0.164517648742262
"236","5501370225","060","55","13","70225",NA,NA,NA,NA,NA,0.783216783216783,0.0360326866697955
"237","5501371450","060","55","13","71450",NA,NA,NA,NA,NA,0.918478260869565,0.315605771292472
"238","5501372225","060","55","13","72225",NA,NA,NA,NA,NA,0.850622406639004,0.0926567451907015
"239","5501374175","060","55","13","74175",NA,NA,NA,NA,NA,0.8375,0.0542418348630056
"240","5501374200","060","55","13","74200",NA,NA,NA,NA,NA,0.886473429951691,0.249057340774861
"241","5501378775","060","55","13","78775",NA,NA,NA,NA,NA,0.889328063241107,0.0732796898576657
"242","5501380375","060","55","13","80375",NA,NA,NA,NA,NA,0.874331550802139,0.0833457597854471
"243","5501381500","060","55","13","81500",NA,NA,NA,NA,NA,0.857142857142857,0.18475777863271
"244","5501384975","060","55","13","84975",NA,NA,NA,NA,NA,0.902985074626866,0.0988316488258375
"245","5501385025","060","55","13","85025",NA,NA,NA,NA,NA,0.946875,0.0536188984136176
"246","5501385850","060","55","13","85850",NA,NA,NA,NA,NA,0.959798994974874,0.0743748170660581
"247","5501388900","060","55","13","88900",NA,NA,NA,NA,NA,0.871657754010695,0.0598353300736789
"248","5501502375","060","55","15","02375",NA,NA,NA,NA,NA,0.956420878210439,0.0380733440785275
"249","5501509725","060","55","15","09725",NA,NA,NA,NA,NA,0.924414715719064,0.0810617049668951
"250","5501509750","060","55","15","09750",NA,NA,NA,NA,NA,0.912416851441242,0.0554036582173761
"251","5501510350","060","55","15","10350",NA,NA,NA,NA,NA,0.923943661971831,0.0457511289522449
"252","5501514000","060","55","15","14000",NA,NA,NA,NA,NA,0.875,0.0516649865318219
